Question,Link,Date,Question Content,Tags,Answer ID,Answer Content,Lawyer ID,Is Best Answer
Can I refinance a vehicle after a reaffirmation has been signed on it during a chapter 7 bankruptcy?,https://www.avvo.com/legal-answers/can-i-refinance-a-vehicle-after-a-reaffirmation-ha-6152712.html,"Asked in Los Angeles, CA | Dec 29, 2024","I filed for chapter 7 bankruptcy 6 months ago and everything went smoothly. I purchased a vehicle about 3 months prior to my filing and ended up signing a reaffirmation agreement on it with little thought. I was on time with all of my car payments and anticipated that I’d be able to continue throughout the duration of the loan however, I’ve recently gone over the terms of this agreement and the amount of payments I’ll be making and I’ll be paying significantly more than what the car is valued at so continuing with the loan is a bad financial move. So now I am looking into surrendering my vehicle because it looks to be impossible for me to refinance the loan since I have a bankruptcy on my credit. My question is am I correct about that? is my only option to surrender the vehicle or is it possible for me to refinance?","Bankruptcy, Chapter 7 bankruptcy",,"If you were represented by an experienced CA Bankruptcy attorney, you should direct your questions to the attorney. Next time before you purchase a vehicle, have the contract reviewed by an experienced attorney. THIS IS NOT LEGAL ADVICE!  YOU NEED TO SPEAK TO AN ATTORNEY WHO IS LICENSED IN YOUR STATE FOR LEGAL ADVICE. This is merely suggestions for you to think about in discussing your situation with the local attorney.",07013-nj-leonard-boyer-4501143.html,False
Can I refinance a vehicle after a reaffirmation has been signed on it during a chapter 7 bankruptcy?,https://www.avvo.com/legal-answers/can-i-refinance-a-vehicle-after-a-reaffirmation-ha-6152712.html,"Asked in Los Angeles, CA | Dec 29, 2024","I filed for chapter 7 bankruptcy 6 months ago and everything went smoothly. I purchased a vehicle about 3 months prior to my filing and ended up signing a reaffirmation agreement on it with little thought. I was on time with all of my car payments and anticipated that I’d be able to continue throughout the duration of the loan however, I’ve recently gone over the terms of this agreement and the amount of payments I’ll be making and I’ll be paying significantly more than what the car is valued at so continuing with the loan is a bad financial move. So now I am looking into surrendering my vehicle because it looks to be impossible for me to refinance the loan since I have a bankruptcy on my credit. My question is am I correct about that? is my only option to surrender the vehicle or is it possible for me to refinance?","Bankruptcy, Chapter 7 bankruptcy",,"Did you receive your discharge yet?  If not, you can to rescind the reaffirmation.  Check with your lawyer for those dates.  If you are stuck with the deal, it is crucial to pay on time. The fact that you made a bad deal is a lesson learned.  If you make on time payments for a year or two, you may be able to refinance then.  Potential creditors want to see a good payment history on the car,  If you make late payments, it is unlikely anyone will refinance you.  If you can't refinance, consider paying it off early.  That will give you  savings which reduce your effective rate.",30344-ga-mario-adkins-471793.html,False
Could I get my money back from enterprise without collections?,https://www.avvo.com/legal-answers/could-i-get-my-money-back-from-enterprise-without--6152636.html,"Asked in Richmond, CA | Dec 29, 2024",Enterprise charged me for a vehicle that I didnt damage and sent me to collections. I noticed my credit was off and so I called and paid it off. I told them it wasn't me who scratched their vehicle but I needed a rental for work. To stay in good business with them I paid around $800 for something that wasn't me. They said I didn't sign or pay the full coverage on their contract. I had 2 request on 2 different occasions and I only paid for 1 with full coverage. From what I remember I paid for full coverage on both vehicles. I also did not scratch their vehicle.,"Bankruptcy, Debt, Bankruptcy and debt",,"A local consumer advocate suggested taking a video of the car with your phone.  That way you have proof of the car's condition at the time you rented it.  Unfortunately, rental car companies are increasing going after renters for alleged damages.  So you have to protect yourself.  The only way to recover the money is to sue in small claims court.  You can also appeal to Enterprise's higher ups.  Let them know if you are a frequent customer.",30344-ga-mario-adkins-471793.html,False
"I filed chapter 13 one year ago, 5 year plan. I would like to change it to 3 years to have it completed sooner. Can I do that?",https://www.avvo.com/legal-answers/i-filed-chapter-13-one-year-ago-5-year-plan-i-woul-6150503.html,"Asked in Simi Valley, CA | Dec 23, 2024","I filed chapter 13 one year ago, 5 year plan. I would like to change it to 3 years to have it completed sooner. Is it possible to do that? Would it be approved?","Bankruptcy, Chapter 13 bankruptcy, Chapter 13 bankruptcy reorganization plan",,"Maybe, it depends upon why you were in the 5 year rather than 3 year plan, what claims are being paid and what percentage of their claim they are receiving, and any changes in circumstances you may have.You would also need to satisfy your chapter 13 trustee that the change is in the best interest of the creditors.  All of these should be discussed with your chapter 13 attorney, or if you don't have one, a chapter 13 attorney you hire now.",95628-ca-cindy-hill-344751.html,False
"I filed chapter 13 one year ago, 5 year plan. I would like to change it to 3 years to have it completed sooner. Can I do that?",https://www.avvo.com/legal-answers/i-filed-chapter-13-one-year-ago-5-year-plan-i-woul-6150503.html,"Asked in Simi Valley, CA | Dec 23, 2024","I filed chapter 13 one year ago, 5 year plan. I would like to change it to 3 years to have it completed sooner. Is it possible to do that? Would it be approved?","Bankruptcy, Chapter 13 bankruptcy, Chapter 13 bankruptcy reorganization plan",,"Maybe.  It will mean your payment will be higher since you are squeezing 5 years of payments into 3 years. If you have much higher income, but are paying unsecured creditors less than 100%, then the Trustee may want more money for said unsecured creditors.  So talk to your lawyer about it and plan out a strategy.",30344-ga-mario-adkins-471793.html,False
"I filed chapter 13 one year ago, 5 year plan. I would like to change it to 3 years to have it completed sooner. Can I do that?",https://www.avvo.com/legal-answers/i-filed-chapter-13-one-year-ago-5-year-plan-i-woul-6150503.html,"Asked in Simi Valley, CA | Dec 23, 2024","I filed chapter 13 one year ago, 5 year plan. I would like to change it to 3 years to have it completed sooner. Is it possible to do that? Would it be approved?","Bankruptcy, Chapter 13 bankruptcy, Chapter 13 bankruptcy reorganization plan",,"possibly. Why was was it a five-year plan?Are you over median? I have paying off priority debt? You curing secured debt?have your circumstances changed?Is it a percent plan or a pot  plan?and I'm sure my learned colleagues will have numerous other questionsthese each questions that you should discuss with your attorney and if you don't have one, you should contact one since we are discussing 36 and 60 months of payments",02458-ma-richard-blumenthal-1330785.html,False
How do I add out of pocket health care expense on line 22 chapter 7 means test that exceed IRS standard ?,https://www.avvo.com/legal-answers/how-do-i-add-out-of-pocket-health-care-expense-on--6149374.html,"Asked in Livermore, CA | Dec 20, 2024",I'm trying to qualify for chapter 7. I have been able to fill out all lines on form  122A-2  means test but one. Line 22 monthly out of pocket health care expense that exceed the IRS standards.  Do I add up all out of pocket expenses for the year then divide by 12 to come up with monthly figure. Then subtract IRS standard.,"Bankruptcy, Chapter 7 bankruptcy, Chapter 7 bankruptcy means test",,"On form 122A-2 there is a section that is entitled ""Other Necessary Expenses""  and No. 22 of that form  asks for:  ""The monthly amount that you pay for health care that is required for the health and welfare of you or your dependents and that is not reimbursed by insurance or paid by a health savings account. Include only the amount that is more than the total entered in line 7.""",94111-ca-lisa-espada-40193.html,False
How do I add out of pocket health care expense on line 22 chapter 7 means test that exceed IRS standard ?,https://www.avvo.com/legal-answers/how-do-i-add-out-of-pocket-health-care-expense-on--6149374.html,"Asked in Livermore, CA | Dec 20, 2024",I'm trying to qualify for chapter 7. I have been able to fill out all lines on form  122A-2  means test but one. Line 22 monthly out of pocket health care expense that exceed the IRS standards.  Do I add up all out of pocket expenses for the year then divide by 12 to come up with monthly figure. Then subtract IRS standard.,"Bankruptcy, Chapter 7 bankruptcy, Chapter 7 bankruptcy means test",,"You are not an experienced Bankruptcy attorney. You do not know what to put in a Bankruptcy petition, nor do you know the United State Bankruptcy Code, the Court rules, normal procedures and you would not know how to handle any objection to your petition. A  simple Chapter 7 Petition can easily be 50 pages and even more for a Chapter 13 Petition which also requires a Chapter 13 Plan and you are emotionally involved and facing experienced Bankruptcy attorneys who represent your creditors. If you do not want more problems than you can possibly imagine, you need to retain an experienced  CA  Bankruptcy attorney.  THIS IS NOT LEGAL ADVICE!  YOU NEED TO SPEAK TO AN ATTORNEY WHO IS LICENSED IN YOUR STATE FOR LEGAL ADVICE. This is merely suggestions for you to think about in discussing your situation with the local attorney.",07013-nj-leonard-boyer-4501143.html,False
How do I add out of pocket health care expense on line 22 chapter 7 means test that exceed IRS standard ?,https://www.avvo.com/legal-answers/how-do-i-add-out-of-pocket-health-care-expense-on--6149374.html,"Asked in Livermore, CA | Dec 20, 2024",I'm trying to qualify for chapter 7. I have been able to fill out all lines on form  122A-2  means test but one. Line 22 monthly out of pocket health care expense that exceed the IRS standards.  Do I add up all out of pocket expenses for the year then divide by 12 to come up with monthly figure. Then subtract IRS standard.,"Bankruptcy, Chapter 7 bankruptcy, Chapter 7 bankruptcy means test",,"If you spend more than the IRS standard, put in the account you actually spend. You may get pushback from the UST, the court, and/or your trustee, so have documentation to back up the account claimed.",27619-nc-derek-caldwell-1735223.html,False
What form to use for creditor to reopen a case?,https://www.avvo.com/legal-answers/what-form-to-use-for-creditor-to-reopen-a-case--6147166.html,"Asked in Los Angeles, CA | Dec 16, 2024","Hi,I saw a from E [LBR 5010-1; 9013-1(q)(11)] for defendant to reopen his bankruptcy case.Could I also use it to reopen it in order to file adverse proceeding?Or just a plain legal paper like normal motion with memorandum point and authorities,  declaration and proof of service in centurial district fed court in downtown LA?Thanks for your attention and help!A.","Bankruptcy, Debt, Bankruptcy and debt",,"You don't know what you don't know. In bankruptcy, there is no defendant, just the debtor and the creditors. If you make a technical or procedural error (and the possibilities to do so are nearly endless), you can face costly sanctions, such as being required to pay the debtor's legal fees. Hope this perspective helps!",89104-nv-dorothy-bunce-2805621.html,False
What form to use for creditor to reopen a case?,https://www.avvo.com/legal-answers/what-form-to-use-for-creditor-to-reopen-a-case--6147166.html,"Asked in Los Angeles, CA | Dec 16, 2024","Hi,I saw a from E [LBR 5010-1; 9013-1(q)(11)] for defendant to reopen his bankruptcy case.Could I also use it to reopen it in order to file adverse proceeding?Or just a plain legal paper like normal motion with memorandum point and authorities,  declaration and proof of service in centurial district fed court in downtown LA?Thanks for your attention and help!A.","Bankruptcy, Debt, Bankruptcy and debt",,"That ship has no doubt sailed you you. Contact a bankruptcy lawyer for further explanation.  If you were given notice of the bankruptcy proceeding, there are strict time limits by which you must have filed. If you didn't get notice and you have clear evidence of fraud you might stand a chance.",92234-ca-robert-firth-108526.html,False
Filing Chapter 13 can my landlord eviction me?,https://www.avvo.com/legal-answers/filing-chapter-13-can-my-landlord-eviction-me--6146611.html,"Asked in Los Angeles, CA | Dec 15, 2024",Filing Chapter 13 and have a settlement agreement that I was unable to fulfill due to landlord not providing requested documentation to 3rd party paying.  I included landlord (settlement agreement) in the plan but my lease is ends in 60 days.Can the landlord evict?,"Bankruptcy, Chapter 13 bankruptcy, Chapter 13 bankruptcy reorganization plan",,"To stay in the premises you must pay monthly rent beginning with the first month due after your Ch. 13 filing date.  On top of that, you must file a plan which includes terms curing the default to the landlord.  Then the plan must be confirmed by the court, and you must make all payments under it.  All this may be a lot of work for little gain.  When the lease expires in 60 days, the landlord can evict you.",30344-ga-mario-adkins-471793.html,False
I filed for chapter 7 bankruptcy and I have a lease on a car will it affect me if I want to buy the car later,https://www.avvo.com/legal-answers/i-filed-for-chapter-7-bankruptcy-and-i-have-a-leas-6146117.html,"Asked in Calexico, CA | Dec 14, 2024",N/A,"Bankruptcy, Chapter 7 bankruptcy",,It will be up to the lender to extend credit to you.  You may have to shop for a new lender because your present lessor may not be too thrilled with your credit. It is always good to shop anyway.  You can save a lot if you get a decent rate.  Another consideration- It may make more sense to simply buy another car.  Payoffs on leased vehicles can be too high.,30344-ga-mario-adkins-471793.html,False
I filed for chapter 7 bankruptcy and I have a lease on a car will it affect me if I want to buy the car later,https://www.avvo.com/legal-answers/i-filed-for-chapter-7-bankruptcy-and-i-have-a-leas-6146117.html,"Asked in Calexico, CA | Dec 14, 2024",N/A,"Bankruptcy, Chapter 7 bankruptcy",,"Assuming you make all the required lease payments, filling bankruptcy prior to the end of the lease should not affect your ability to buy the car at the conclusion of the lease, other than affecting the interest rate you will have to pay on the loan required to purchase the car.",27619-nc-derek-caldwell-1735223.html,False
